Species_ID,Subclass,Order,Superfamily,Family,Biovolume_mm3,Genus,Species,B0 Order,tiering,motility,feeding,ecospace
Lim224,Pteriomorphia,Limoida,Limoidea,Limidae,205.8214108,Limea,Limea argentineae,0.52,3,4,1,341
Lim270,Pteriomorphia,Limoida,Limoidea,Limidae,118.7609887,Limatula ,Limatula sp. 3,0.52,3,2,1,321
Lim271,Pteriomorphia,Limoida,Limoidea,Limidae,106.1931971,Limea,Limea sp. 240,0.52,3,4,1,341
Luc34,Heterodonta,Veneroida,Lucinoidea,Lucinidae,4772.265255,Myrteopsis,Myrteopsis lens,0.42,5,3,2,532
Luc51,Heterodonta,Veneroida,Lucinoidea,Lucinidae,181917.9619,Lucinoma,Lucinoma filosa,0.42,5,3,2,532
Luc58,Heterodonta,Veneroida,Lucinoidea,Lucinidae,93345.11356,Lucinidae,Lucinidae sp.,0.42,5,3,2,532
Luc59,Heterodonta,Veneroida,Lucinoidea,Lucinidae,93345.11356,Lucinidae,Lucinidae sp. 280,0.42,5,3,2,532
Lyo22,Anomalodesmata,Pholadomyoida,Pholadomyoida,Lyonsiidae,174.24,Lyonsia,Lyonsia sp. 1,0.42,6,3,1,631
Mac40,Heterodonta,Veneroida,Mactroidea,Mactridae,908280,Mactridae,Mactridae sp. ,0.42,5,3,2,532
Mal10,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,1825.794564,Malletia,Malletia pallida,0.28,5,3,2,532
Mal11,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,5858.385898,Malletia,Malletia polita,0.28,5,3,2,532
Mal12,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,1221.27404,Malletia,Malletia grasslei,0.28,5,3,2,532
Mal13,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,167.2689139,Malletia,Malletia malita,0.28,5,3,2,532
Mal14,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,51.529,Malletia,Malletia surinamensis,0.28,5,3,2,532
Mal15,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,813.3563341,Malletia,Malletia obtusa,0.28,5,3,2,532
Mal21,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,860.7890797,Malletia,Malletia sp.,0.28,5,3,2,532
Mal22,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,860.7890797,Malletia ,Malletia succisa atlantica,0.28,5,3,2,532
Mal7,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,305.1873586,Malletia,Malletia abyssorum,0.28,5,3,2,532
Mal8,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,344.6050624,Malletia,Malletia cuneata,0.28,5,3,2,532
Mal9,Protobranchia,Nuculoida,Nuculanoidea,Malletiidae,1818.852831,Malletia,Malletia johnsoni,0.28,5,3,2,532
Man5,Protobranchia,Solemyoida,Manzanelloidea,Manzanellidae,13.234375,Nucinella,Nucinella pretiosa,0.28,5,3,6,536
Mon7,Heterodonta,Veneroida,Galeommatoidea,Montacutidae,164.11,Montacutidae,Montacutidae sp.,0.42,5,3,1,531
