Subclass,Order,Superfamily,Family,Species_ID,Biovolume_mm3,Genus,Species,B0 Order
Heterodonta,Myoida,Pholadoidea,Pholadidae,Pho39,164.11,Xylophaga,Xylophaga sp.,0.44
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast10,30892.12245,Astarte,Astarte sp. 2,0.42
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast15,30892.12245,Astarte,Astarte sp.,0.42
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast16,30892.12245,Astarte,Astarte sp. 3,0.42
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast9,30892.12245,Astarte,Astarte sp. 1,0.42
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast12,30892.12245,Astarte ,Astarte sp. 5,0.42
Heterodonta,Veneroida,Astartoidea,Astartidae,Ast13,12431.04625,Tridonta ,Tridonta elliptica,0.42
Heterodonta,Veneroida,Cardioidea,Cardiidae,Car242,727766.9121,Acanthocardia,Acanthocardia echinata,0.42
Heterodonta,Veneroida,Cardioidea,Cardiidae,Car243,797912.6263,Cardiidae,Cardiidae sp. 4,0.42
Heterodonta,Veneroida,Cardioidea,Cardiidae,Car244,797912.6263,Cardiidae,Cardiidae sp. 6,0.42
Heterodonta,Veneroida,Cardioidea,Cardiidae,Car22,281243.4125,Clinocardium,Clinocardium ciliatum,0.42
Heterodonta,Veneroida,Carditoidea,Carditidae,Car116,88386.21907,Carditidae,Carditidae sp. 1,0.42
Heterodonta,Veneroida,Carditoidea,Carditidae,Car117,97056.32602,Carditidae,Carditidae sp. 2,0.42
Heterodonta,Veneroida,Carditoidea,Carditidae,Car118,114114.8547,Carditidae,Carditidae sp. 5,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel12,20.98271178,Kelliella,Kelliella tenina,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel13,2266.433324,Kelliella,Kelliella adamsi,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel4,2.920497566,Kelliella,Kelliella biscayensis,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel6,22.88150504,Kelliella,Kelliella miliaris,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel7,114.5182475,Kelliella,Kelliella nitida,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel10,6.69919027,Kelliella ,Kelliella elongata,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel11,28.86153404,Kelliella ,Kelliella abyssicola,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel14,62.16103933,Kelliella ,Kelliella sp. 236,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel15,62.16103933,Kelliella ,Kelliella sp. 245,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel16,62.16103933,Kelliella ,Kelliella sp. 323,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel17,62.16103933,Kelliella ,Kelliella sp.,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel3,2904,Kelliella ,Kelliella atlantica,0.42
Heterodonta,Veneroida,Glossoidea,Kelliellidae,Kel9,4.85254905,Kelliella ,Kelliella concentrica,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las60,10,Epilepton,Epilepton sp. 21,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las66,10,Epilepton,Epilepton sp.,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las38,10,Epilepton ,Epilepton elpis,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las59,10,Epilepton ,Epilepton subtrigonum,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las61,88.752,Montacuta,Montacuta sp.,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las62,88.752,Montacuta,Montacuta sp. 1,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las18,20.77749603,Mysella,Mysella sp. 1,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las47,36.17041396,Mysella,Mysella ovata,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las51,7.811555556,Mysella,Mysella tumidula,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las63,25.78037318,Mysella,Mysella verrilli,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las64,20.77749603,Mysella,Mysella sp. 2,0.42
Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,Las65,20.77749603,Mysella,Mysella sp. 3,0.42
Heterodonta,Veneroida,Galeommatoidea,Leptonidae,Lep1,164.11,Leptonidae,Leptonidae sp. v,0.42
Heterodonta,Veneroida,Galeommatoidea,Leptonidae,Lep2,164.11,Leptonidae,Leptonidae sp. w,0.42
